prefixe,code_qua,arrondissement,num_qua,nom,nom_source,correction,alerte
801,1320101,13201,1,Belsunce,BELSUNCE,,
802,1320102,13201,2,Le Chapitre,CHAPITRE,,
803,1320103,13201,3,Noailles,NOAILLES,,
804,1320104,13201,4,Opéra,OPERA,,
805,1320105,13201,5,Saint-Charles,SAINT CHARLES,,
806,1320106,13201,6,Thiers,THIERS,,
807,1320201,13202,1,Arenc,ARENC,,
808,1320202,13202,2,Les Grands-Carmes,GRANDS CARMES,,
809,1320203,13202,3,Hôtel-de-Ville,HOTEL DE VILLE,,
810,1320204,13202,4,La Joliette,LA JOLIETTE,,
811,1320301,13203,1,Belle de Mai,BELLE DE MAI,,
812,1320302,13203,2,Saint-Lazare,SAINT LAZARE,,
813,1320303,13203,3,Saint-Mauront,SAINT MAURON,OUI,
814,1320304,13203,4,La Villette,LA VILETTE,OUI,
815,1320401,13204,1,La Blancarde,LA BLANCARDE,,
816,1320402,13204,2,Les Chartreux,LES CHARTREUX,,
817,1320403,13204,3,Chutes-Lavie,CHUTES LAVIE,,
818,1320404,13204,4,Cinq Avenues,CINQ AVENUES,,
819,1320501,13205,1,Baille,BAILLE,,
820,1320502,13205,2,Le Camas,LE CAMAS,,
821,1320503,13205,3,La Conception,LA CONCEPTION,,
822,1320504,13205,4,Saint-Pierre,SAINT PIERRE,,
823,1320601,13206,1,Castellane,CASTELLANE,,
824,1320602,13206,2,Lodi,LODI,,
825,1320603,13206,3,Notre-Dame-du-Mont,NOTRE DAME DU MONT,,
826,1320604,13206,4,Palais de Justice,PALAIS DE JUSTICE,,
827,1320605,13206,5,Préfecture,PREFECTURE,,
828,1320606,13206,6,Vauban,VAUBAN,,
829,1320701,13207,1,Bompard,BOMPARD,,
830,1320702,13207,2,Endoume,ENDOUME,,
831,1320703,13207,3,Les Îles,ENDOUME,OUI,
832,1320704,13207,4,Le Pharo,LE PHARO,,
833,1320705,13207,5,Le Roucas Blanc,ROUCAS BLANC,,
